PWSID,FACILITY_ID,FACILITY_NAME,FACILITY_ACTIVITY_CODE,FACILITY_TYPE_CODE,WATER_TYPE_CODE
ARN000188,4343,HIGHFILL WATER DEPARTMENT,A,CC,SW
ARN000188,3447,NW ARKANSAS REGIONAL AIRPORT,A,DS,
AR0000413,2544,CEDAR CREEK IMPONDMENT,A,IN,SW
AR0000413,2983,PERRYVILLE WATERWORKS,A,DS,
AR0000413,282,PERRYVILLE WATERWORKS,A,TP,
AR0000851,4260,BOONEVILLE WATERWORKS,A,CC,SW
AR0000851,3306,SOUTH LOGAN COUNTY WATER,A,DS,
AR0000410,3973,PERRYVILLE WATERWORKS,A,CC,SW
AR0000410,4384,PLEASANT VALLEY BOOSTER STATION,I,TP,
AR0000410,2980,WYE MOUNTAIN WATER ASSOCIATION,A,DS,
AR0000867,3317,N GARLAND CO REG WATER DIST,A,DS,
AR0000868,3318,SEVIER CO WATER ASSOCIATION,A,DS,
AL0001513,6603,DISTRIBUTION SYSTEM,A,DS,
AL0001513,7405,THOMASVILLE WATER WORKS & SEWER BO-MM 1,A,CC,SW
AL0000233,6920,SUMTER COUNTY WATER AUTHORITY-MM 1,A,CC,GW
CA2400248,61807,WELL NO. 1,A,WL,GW
PA7360113,311,WELL F AND M TP,A,TP,
PA7360778,301,TREATMENT BUILDING,A,TP,
AL0000178,296,COUNTY TANK,A,ST,
AL0000178,5734,DISTRIBUTION SYSTEM,A,DS,
AL0000178,299,FIRE STATION TANK,A,ST,
AL0000178,2681,LAFAYETTE TREATMENT PLANT,A,TP,
AL0000573,6003,DISTRIBUTION SYSTEM,A,DS,
AR0000580,3118,PANGBURN WATERWORKS,A,DS,
AL0000162,8671,BETTA VIEW BOOSTER PUMP,A,PF,
AL0001005,7695,COTTAGE HILL PUMP STATION,A,PF,
AL0001005,6287,DISTRIBUTION SYSTEM,A,DS,
AL0001005,1592,EAST RESERVOIR 1,A,ST,
AL0001005,1593,EAST RESERVOIR 2,A,ST,
AL0001005,5519,J.B. CONVERSE LAKE (MYERS),A,IN,SW
AL0001005,1605,JOHNSON ROAD TANK,A,ST,
AL0001005,1600,MOFFAT AND SCHILLINGER TANK,A,ST,
AL0001005,8761,SOUTH ALABAMA UTILITIES,A,CC,GW
AL0001213,6419,DISTRIBUTION SYSTEM,A,DS,
AL0001213,1893,TANK - MCHUGH ST #1,A,ST,
MT0004896,21268,TREATMENT PLANT,A,TP,
AL0000321,490,AVALON,I,ST,
AL0000321,486,BRIGHTON,A,ST,
AL0000321,5838,DISTRIBUTION SYSTEM,A,DS,
AL0000321,487,NORTHWEST,A,ST,
AL0000321,488,SOUTHEAST,A,ST,
AL0000321,5454,TENNESSEE RIVER,A,IN,SW
AL0000321,2784,TENNESSEE RIVER + TREATMENT PLANT,A,TP,
AL0001764,6755,DISTRIBUTION SYSTEM,A,DS,
AL0001771,6762,DISTRIBUTION SYSTEM,A,DS,
