,PWSID,COUNTY_SERVED
116,OK2004253,Logan
213,MI2007644,Lapeer
410,AZ0407274,
419,AZ0407274,Maricopa
463,IN2440086,
1016,IN2440086,LaGrange
1023,PA7360700,Lancaster
1040,PA1090317,Bucks
1708,MI2016647,Livingston
2287,MI2041525,Genesee
2316,MI2136163,Oakland
2439,CT0347021,
2440,CT0347021,Fairfield
2446,TX0190042,Bowie
2448,TX1020086,Harrison
2449,MI2002064,Oceana
2762,TX1720002,Morris
2785,IL3128124,Mason
3401,PA6251007,Erie
3747,MI2035064,Oceana
3765,MI2058380,Van Buren
3802,MI2102641,Kent
3849,MI2271263,Oakland
3855,MI2051441,Kent
3870,MI2027364,Oceana
4350,CA0910010,El Dorado
4393,MI2046054,Mecosta
5070,MI2031975,St. Joseph
5137,MI2031075,St. Joseph
5336,MI2037761,Muskegon
5695,MI2046272,Roscommon
5697,MI2031475,St. Joseph
5772,NC0197554,
5773,NC0197554,Wilkes
5818,WA5331569,Mason
5842,TX1520156,Lubbock
5945,CO0138785,Logan
5951,AZ0415464,
5952,AZ0415464,La Paz
6762,TX1280012,Karnes
6800,OR4195436,Lane
6959,MI2102525,Genesee
7003,MI2023183,Wexford
7383,OK3005702,Osage
7491,NC0326213,
7710,MI2004208,Barry
7856,MI2226363,Oakland
8296,PA7360678,Lancaster
8326,PA7670331,York
8606,TX1520154,Lubbock
8703,MI2067947,Livingston
8707,MI2021253,Mason
8821,MT0003943,
8822,MT0003943,Big Horn
8863,OH2433312,Fayette
9111,CO0262724,Weld
9182,MI2013076,Sanilac
9387,NC0326213,Cumberland
9583,OH2558012,Franklin
9738,MI2020901,Alcona
9838,NC3099024,Yadkin
10120,MI2149163,Oakland
10431,MI2021519,Clinton
11255,AR0000789,Perry
11267,MI2140663,Oakland
11277,MI2005757,Missaukee
11300,MI2033978,Shiawassee
11331,WA5301281,Pend Oreille
11700,WA5331575,Pierce
11730,WA5328494,Pierce
12157,ID3440030,Washington
12380,MI2153925,Genesee
12396,LA1027012,Claiborne Parish
12451,MI2159125,Genesee
13072,PA7380405,Lebanon
13092,WV9913135,
13093,WV9913135,Greenbrier
13392,MI2018914,Cass
13528,TX1650129,Midland
13732,TX2390049,Washington
13857,WA5351750,Pierce
13877,WA5336294,Pierce
14012,NY5716313,
14013,NY5716313,Washington
14195,IL3055756,Tazewell
14238,MI2003376,Sanilac
14419,IL0295225,Coles
14677,OH2436112,Fayette
14918,MI2056825,Genesee
14938,MI2142025,Genesee
14947,GA0770109,Coweta
14952,MI2018208,Barry
15074,PA7360599,Lancaster
15115,NJ0263323,
15465,MI2055447,Livingston
15503,MI2147525,Genesee
15597,PA1090062,Bucks
15618,NC0363144,
15619,NC0363144,Moore
16257,CA2701036,Monterey
16289,CO0136600,Las Animas
16303,NJ0263323,
16654,MI2025151,Manistee
16685,NV0002564,Douglas
16784,TX0680126,Ector
17072,MT0000968,Pondera
17181,NC4064032,Nash
17182,NC4064032,
17195,MI2070203,Allegan
17421,MI2023925,Genesee
17843,TX0910039,Grayson
17896,MI2003041,Kent
17921,ID4010017,Ada
18017,MI2076447,Livingston
18262,MI2055541,Kent
18308,MI2027625,Genesee
19210,MI2145825,Genesee
19232,MI2081363,Oakland
19266,IA2279402,
19267,IA2279402,Clayton
19455,PA3061207,Berks
19730,MI2068403,Allegan
19974,MI2068525,Genesee
20043,MI2066347,Livingston
20049,MI2291063,Oakland
20291,MI2266363,Oakland
20432,MI2032539,Kalamazoo
21309,CA3601137,San Bernardino
21466,TX2020020,Sabine
21524,OK3006304,Pottawatomie
21563,IA0345603,
21564,IA0345603,Allamakee
21659,MI2148363,Oakland
21705,MI2042813,Calhoun
22472,LA2063033,Livingston Parish
22545,IA6653201,
22546,IA6653201,Mitchell
22605,MI2014153,Mason
22622,MI2133925,Genesee
22937,MI2028823,Eaton
23652,MI2061047,Livingston
23705,MI2017267,Osceola
23721,WA5308174,Ferry
23794,MI2030475,St. Joseph
23829,MI2020730,Hillsdale
24296,MI2044425,Genesee
24314,MI2006275,St. Joseph
24589,LA1015047,Bossier Parish
24706,MI2018775,St. Joseph
25148,NY4522762,
25149,NY4522762,Saratoga
25431,MI2148863,Oakland
25583,MI2022625,Genesee
26208,MI2145063,Oakland
26256,TX1130038,Houston
26283,WV3300807,
26284,WV3300807,Clay
26328,MI2009580,Van Buren
26389,MI2002139,Kalamazoo
26413,MT0003740,
26414,MT0003740,Lewis and Clark
26825,MI2030412,Branch
27486,CT0960111,
27487,CT0960111,Litchfield
27553,MI2007068,Oscoda
27566,NM3590109,Grant
27567,NM3590109,
27849,PA4180841,Clinton
27933,NM3501204,Colfax
27934,NM3501204,
27962,MI2020875,St. Joseph
28150,MI2218363,Oakland
28458,TX0280017,Caldwell
28459,CA3901479,San Joaquin
28805,MI2013539,Kalamazoo
28857,NY4501781,
28858,NY4501781,Saratoga
29431,MI2051239,Kalamazoo
29569,WA5342704,Kittitas
29622,KS2020507,Wilson
29623,KS2020507,
29949,MI2064981,Washtenaw
30101,NC0382738,
30102,NC0382738,Sampson
30365,MI2089225,Genesee
30411,WA5317631,Okanogan
30429,WA5307278,Okanogan
30433,WA53AD637,Okanogan
30442,WA5307870,Okanogan
30443,WA5320226,Okanogan
30453,TX1080064,Hidalgo
30634,MI2100241,Kent
30645,MI2100141,Kent
30666,MI2056311,Berrien
30778,WA53AB710,Okanogan
30812,WA5320540,Klickitat
31648,WA53AC141,Okanogan
31677,WA5307993,Okanogan
31695,WA5320275,Pacific
31866,NC0382638,
32105,NC0382638,Sampson
32630,NC0285118,
32631,NC0285118,Stokes
32883,SC3260174,
32884,SC3260174,Lexington
33067,IL3112714,Fulton
33974,KY0430245,Grayson
34592,MT0003489,Silver Bow
34593,MT0003489,
34602,MI2106363,Oakland
34734,NC0427123,
35333,MI2017705,Antrim
35560,MI2021054,Mecosta
35901,NC0427123,Currituck
36291,TX0840217,Galveston
36364,MI2148563,Oakland
36409,MI2064825,Genesee
36559,MI2005415,Charlevoix
37819,MI2047772,Roscommon
38394,MI2043281,Washtenaw
38539,WA5316150,Lincoln
38540,WA5301852,Lincoln
38551,WA5319928,Lincoln
38573,WA5319906,Lincoln
38970,NC0161419,
38971,NC0161419,Mitchell
39162,NC0392139,
39163,NC0392139,Wake
39509,MI2011975,St. Joseph
39641,ME0094957,York
39642,ME0094957,
39679,NC0304036,
39680,NC0304036,Anson
39799,AK2271211,Bethel Census Area
39800,AK2271211,
39810,AK2240456,Kenai Peninsula Borough
39813,AK2240456,
40104,MI2124825,Genesee
40105,MI2124825,
40477,MI2046281,Washtenaw
40525,MI2047203,Allegan
40789,NJ0614345,Cumberland
40884,NE3120976,
40888,NE3120976,Cass
41214,MI2004812,Branch
41463,WA5315596,Whatcom
41656,MI2008878,Shiawassee
41982,MI2033662,Newaygo
42085,MI2103279,Tuscola
42142,TX1520276,Lubbock
42193,AZ0409088,Navajo
42194,AZ0409088,
42605,IL0830200,
42606,IL0830200,Jersey
42652,MI2161625,Genesee
42902,MI2032375,St. Joseph
42917,MI2068503,Allegan
42921,MI2066870,Ottawa
43316,ME0093881,Lincoln
43317,ME0093881,
43526,PA7671022,York
43574,ME0095004,York
43575,ME0095004,
43781,OK2000301,Atoka
44131,084690023,
44289,AK2220429,Matanuska-Susitna Borough
44316,AK2226055,Matanuska-Susitna Borough
44317,AK2226055,
44336,MI2016612,Branch
44350,MI2275363,Oakland
44406,MI2016162,Newaygo
44476,NY4515414,
44481,NY4515414,Saratoga
44627,LA1073035,Ouachita Parish
44823,AS9310751,Eastern District
44826,AS9310751,
44934,CT0341324,
44935,CT0341324,Fairfield
45049,MI2056563,Oakland
45054,MI2244363,Oakland
45081,CO0333150,Lake
45100,MI2053603,Allegan
45110,AK2210419,Anchorage Municipality
45111,AK2210419,
45272,WA5362135,Whatcom
45613,MI2024454,Mecosta
45780,ID3230022,Gem
45794,MI2118125,Genesee
45845,VA3093180,Isle of Wight
46277,NC0319040,
46278,NC0319040,Chatham
46422,MI2011357,Missaukee
46520,ME0090290,Washington
46521,ME0090290,
46671,AK2220258,Matanuska-Susitna Borough
46672,AK2220258,
46692,AK2121510,Ketchikan Gateway Borough
46693,AK2121510,
46698,AK2272017,Bethel Census Area
46699,AK2272017,
46811,MI2002351,Manistee
47032,AK2120224,
47033,AK2120224,
47053,AK2121076,Ketchikan Gateway Borough
47054,AK2121076,
47055,AK2120127,Ketchikan Gateway Borough
47056,AK2120127,
47061,AK2120143,
47062,AK2120143,
47063,AK2130198,
47064,AK2130198,
47065,AK2130017,
47066,AK2130017,
47067,AK2120216,
47068,AK2120216,
47698,NC0427119,
47699,NC0427119,Currituck
48184,MI0004025,Marquette
48361,MI2065547,Livingston
48530,AK2260812,Lake and Peninsula Borough
48533,AK2260812,
48564,MI2021475,St. Joseph
48578,TX1870076,Polk
48613,ME0091470,York
48614,ME0091470,
48615,ME0091470,
48698,NC0465223,
48699,NC0465223,New Hanover
48813,MI2026264,Oceana
48851,MI2034714,Cass
48899,ME0000015,Somerset
48900,ME0000015,
49339,KS2012524,
49340,KS2012524,Montgomery
49423,IA5221206,
49429,IA5221206,Johnson
49567,ME0091490,Hancock
49569,ME0091490,
49741,NC0326927,
49744,NC0326927,Cumberland
49812,ME0095655,Hancock
49814,ME0095655,
50647,AK2220429,
50665,ME0091310,Aroostook
50672,ME0091310,
50810,ME0091390,Aroostook
50811,ME0091390,
51054,ME0002580,Penobscot
51055,ME0002580,
51057,ME0091550,Knox
51059,ME0091550,
51077,NC0368113,
51078,NC0368113,Orange
51165,ME0092287,Washington
51166,ME0092287,
51167,ME0005844,Androscoggin
51168,ME0005844,
51630,NC0392830,
51631,NC0392830,Wake
51915,TX1870019,Polk
52176,AK2270299,Wade Hampton Census Area
52177,AK2270299,
52210,AK2211677,Anchorage Municipality
52211,AK2211677,
52217,ME0021653,
52238,ME0092308,Aroostook
52239,ME0092308,
52240,ME0092307,Cumberland
52241,ME0092307,
52260,ME0294539,Aroostook
52261,ME0294539,
52287,ME0008716,Lincoln
52289,ME0008716,
52326,NC0427015,
52624,ME0013342,Kennebec
52628,ME0013342,
52673,ME0009244,Androscoggin
52676,ME0009244,
52702,ME0090150,York
52703,ME0090150,
52858,AK2340141,Nome Census Area
52864,AK2340141,
52865,AK2340387,Nome Census Area
52866,AK2340387,
52872,AK2340751,Nome Census Area
52876,AK2340751,
53294,AK2315049,
53354,AK2220037,Matanuska-Susitna Borough
53355,AK2220037,
53428,ME0092364,York
